player_name,delta_diff,delta_avg,MLBAMID
"Williams, Luke",0.011999999999999997,-0.08566666666666667,663897
"Stephenson, Robert",0.13232937481305862,-0.08048710789503291,596112
"Dixon, Brandon",0.010583333333333333,-0.07328571428571429,641525
"Vieira, Thyago",0.054541666666666634,-0.07239583333333333,600986
"Schoop, Jonathan",0.11138888888888888,-0.06452941176470588,570731
"Scott, Tanner",0.08778927935386638,-0.058975516875082755,656945
"Bautista, Félix",0.059171849748635125,-0.05254526504457643,642585
"Uribe, Abner",0.09774661889241364,-0.05237497036764958,682842
"Kimbrel, Craig",0.09314123447877971,-0.05233762739179595,518886
"Hernández, Yonny",0.0934,-0.051500000000000004,660634
"McGee, Easton",0.02065625,-0.05095312499999999,668834
"Hudson, Daniel",0.10953333333333332,-0.05082183908045977,543339
"Bednar, David",0.07210011415015748,-0.04961539148491167,670280
"Chapman, Aroldis",0.09229391391932026,-0.04825255247035139,547973
"Payamps, Joel",0.06108529365644523,-0.047774614015508816,606303
"Donaldson, Josh",0.06393333333333334,-0.04672727272727273,518626
"Calvo, Blair",0.004333333333333335,-0.046636363636363636,663971
"Zavala, Seby",0.10966666666666666,-0.04583333333333334,664874
"Villar, David",0.16975,-0.045625,681584
"Williams, Devin",0.03828830247041121,-0.04454960031313226,642207
"Mayza, Tim",0.054143494651072106,-0.04448655044877259,641835
"Karcher, Ricky",0.06983636363636364,-0.04438095238095238,676689
"Ottavino, Adam",0.06995479953883561,-0.04403271600570551,493603
"Barnhart, Tucker",0.067,-0.04391025641025641,571466
"Guillorme, Luis",0.10883333333333332,-0.04341666666666666,641645
"Poche, Colin",0.0590917940185836,-0.043400534832675766,621363
"Rainey, Tanner",0.10211111111111111,-0.04283333333333333,663432
"Hurt, Kyle",0.014499999999999999,-0.04275,669165
"Chavez, Jesse",0.06611336326314765,-0.042570158195266,445926
"Naughton, Packy",0.02498257575757576,-0.042361111111111106,676050
"Alvarado, José",0.0614054094116173,-0.04078403296686252,621237
"Helsley, Ryan",0.04378271643360531,-0.040647122079915624,664854
"Sims, Lucas",0.04552010157410642,-0.04033133051522775,608371
"Ryan, Ryder",0.08195238095238094,-0.039461538461538465,656924
"Martin, Chris",0.00817730948242857,-0.039294000019977,455119
"Cyr, Tyler",0.057999999999999996,-0.038714285714285715,664202
"Vargas, Carlos",0.11660833333333334,-0.03863333333333333,672841
"Latz, Jake",0.010946248196248204,-0.03805038759689922,656641
"Rodriguez, Elvin",0.02103623188405796,-0.0378723404255319,660730
"Miller, Shelby",0.03015035699006695,-0.03771099527271924,571946
"Chargois, JT",0.04882286771804552,-0.03766080067410102,608638
"Castillo, Diego",0.09952412698412698,-0.03700015873015873,650895
"Sewald, Paul",0.05189634221536824,-0.03693591008889708,623149
"Mlodzinski, Carmen",0.05457495090453567,-0.03684447481206935,669387
"Thielbar, Caleb",0.06488353274140181,-0.03634578459612283,573204
"Jansen, Kenley",0.09407326832911725,-0.03612862321097201,445276
"Weems, Jordan",0.058330280015820496,-0.03551265985278604,607179
"Gómez, Yoendrys",0.005466666666666668,-0.03546666666666667,672782
"Graveman, Kendall",0.057665979002721635,-0.03528803187430325,608665
"Jacob, Alek",0.016098611111111105,-0.0351021505376344,689690
"Sherriff, Ryan",0.04300248538011696,-0.03468513513513514,595411
"Moore, Matt",0.0527599907101175,-0.03463776020093211,519043
"Lamb, Jake",0.20400000000000001,-0.034499999999999996,571875
"Pruitt, Austin",0.07415329464737884,-0.03417273948344105,643493
"Murfee, Penn",0.018391682299182296,-0.03409663222082577,682171
"Yates, Kirby",0.042788749771145065,-0.03384643297754136,489446
"Bukauskas, J.B.",0.04395714285714285,-0.033378571428571424,656266
"Peguero, Elvis",0.05680105042570416,-0.03310347334923214,665625
"Hicks, Jordan",0.056311097895397025,-0.03285531405233709,663855
"Neris, Hector",0.031039988295297367,-0.03268899423239233,593576
"Hentges, Sam",0.0398339914688937,-0.0326773576720425,656529
"Uceta, Edwin",0.006433846153846151,-0.03200000000000001,670955
"Springs, Jeffrey",0.03642121212121211,-0.03162734082397003,605488
"Espada, Jose",0.05292307692307692,-0.03152,664744
"Campbell, Isaiah",0.036683286227360536,-0.03126763298059584,663462
"Vesia, Alex",0.06833496703862403,-0.031208998923963276,681911
"Phillips, Evan",0.03656897408458884,-0.0311111721304656,623465
"Kerkering, Orion",0.16015811965811966,-0.03089333333333334,689147
"Kiner-Falefa, Isiah",0.032385416666666667,-0.030817708333333332,643396
"Gibaut, Ian",0.04373557015259057,-0.030805818501573993,664139
"Cordero, Jimmy",0.022752784648668076,-0.03080297275503104,622772
"Graterol, Brusdar",0.037827880304198876,-0.0307530334595527,660813
"Bickford, Phil",0.07611333305039343,-0.030336885062104885,641360
"Lovelady, Richard",0.029245231964304723,-0.030298709283784968,663992
"Vasquez, Andrew",0.0633812220382987,-0.029937935096794058,607755
"Nittoli, Vinny",0.0047002923976607915,-0.029608108108108117,657697
"Wilson, Bryse",0.04499805116056789,-0.02948479791369432,669060
"Escobar, Eduardo",0.07791964285714287,-0.029033333333333338,500871
"Danner, Hagen",0.10400000000000001,-0.028571428571428564,668470
"Topa, Justin",0.04858290472372464,-0.028567988991696675,623437
"Cosgrove, Tom",0.03186632941552818,-0.02832281202379566,676680
"Hamilton, Ian",0.03898778003813218,-0.02832187912285437,641656
"Felipe, Angel",0.036257286524391794,-0.028056244881244877,665734
"Loup, Aaron",0.049557623166179794,-0.027870222525503037,571901
"Francis, Bowden",0.01511640227984212,-0.027475344778446285,670102
